"Date","Site.Name","COUNTY","meanLat","meanLong","Month","Year","PM2.5","Ozone"
2018-01-16,"Castle Hayne","New Hanover",34.364167,-77.838611,1,2018,20,NA
2018-01-16,"Clemmons Middle","Forsyth",36.026,-80.342,1,2018,69,NA
2018-01-16,"Durham Armory","Durham",36.0329550008979,-78.904037,1,2018,60,NA
2018-01-16,"Garinger High School","Mecklenburg",35.2401000008895,-80.785683,1,2018,61,28
2018-01-16,"Hattie Avenue","Forsyth",36.110693332,-80.2264378,1,2018,68,NA
2018-01-16,"Leggett","Edgecombe",35.988278,-77.5843,1,2018,29,NA
2018-01-16,"Mendenhall School","Guilford",36.1090060008986,-79.802314,1,2018,70,NA
2018-01-16,"Millbrook School","Wake",35.856111,-78.574167,1,2018,58,24
2018-01-16,"West Johnston Co.","Johnston",35.59095,-78.4622,1,2018,53,NA
2018-01-17,"Bryson City","Swain",35.434767,-83.442133,1,2018,37,NA
2018-01-17,"Castle Hayne","New Hanover",34.364167,-77.838611,1,2018,24,NA
2018-01-17,"Clemmons Middle","Forsyth",36.026,-80.342,1,2018,55,NA
2018-01-17,"Durham Armory","Durham",36.0329550008979,-78.904037,1,2018,54.5,NA
2018-01-17,"Frying Pan Mountain","Haywood",35.379167,-82.7925,1,2018,15,NA
2018-01-17,"Garinger High School","Mecklenburg",35.2401000008895,-80.785683,1,2018,40.5,28
2018-01-17,"Hattie Avenue","Forsyth",36.110693332,-80.2264378,1,2018,47.5,NA
2018-01-17,"Leggett","Edgecombe",35.988278,-77.5843,1,2018,38,NA
2018-01-17,"Linville Falls","Avery",35.972347,-81.933072,1,2018,19,NA
2018-01-17,"Mendenhall School","Guilford",36.1090060008986,-79.802314,1,2018,51,NA
2018-01-17,"Millbrook School","Wake",35.856111,-78.574167,1,2018,56,29
2018-01-17,"West Johnston Co.","Johnston",35.59095,-78.4622,1,2018,66,NA
2018-01-18,"Bryson City","Swain",35.434767,-83.442133,1,2018,48,NA
2018-01-18,"Castle Hayne","New Hanover",34.364167,-77.838611,1,2018,30,NA
2018-01-18,"Clemmons Middle","Forsyth",36.026,-80.342,1,2018,40,NA
2018-01-18,"Durham Armory","Durham",36.0329550008979,-78.904037,1,2018,45,NA
2018-01-18,"Garinger High School","Mecklenburg",35.2401000008895,-80.785683,1,2018,40,31
2018-01-18,"Hattie Avenue","Forsyth",36.110693332,-80.2264378,1,2018,35,NA
2018-01-18,"Leggett","Edgecombe",35.988278,-77.5843,1,2018,31,NA
2018-01-18,"Mendenhall School","Guilford",36.1090060008986,-79.802314,1,2018,34,NA
2018-01-18,"Millbrook School","Wake",35.856111,-78.574167,1,2018,54,35
2018-01-18,"West Johnston Co.","Johnston",35.59095,-78.4622,1,2018,50,NA
2018-01-19,"Bryson City","Swain",35.434767,-83.442133,1,2018,52,NA
2018-01-19,"Clemmons Middle","Forsyth",36.026,-80.342,1,2018,54,NA
2018-01-19,"Durham Armory","Durham",36.0329550008979,-78.904037,1,2018,57,NA
2018-01-19,"Garinger High School","Mecklenburg",35.2401000008895,-80.785683,1,2018,49,22
2018-01-19,"Hattie Avenue","Forsyth",36.110693332,-80.2264378,1,2018,43,NA
2018-01-19,"Leggett","Edgecombe",35.988278,-77.5843,1,2018,25,NA
2018-01-19,"Mendenhall School","Guilford",36.1090060008986,-79.802314,1,2018,37,NA
2018-01-19,"Millbrook School","Wake",35.856111,-78.574167,1,2018,55,32
